scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsGVAR_(no mean)_normal_KL06_143826_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2254335260115607,0.2986512524084778,0.3329479768786128,0.388326910725755,0.32562666299660525,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3088714290690397,0.13872832369942195,0.37572254335260113,0.6763005780346821,0.7167630057803468,0,0,0,0.058633106981398744,17.055210809777627,0,0
aiopscLSTM_(no mean)_normal_KL06_144126_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23121387283236994,0.3082851637764931,0.3387283236994219,0.4104046242774569,0.3307326360216535,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3105320658788867,0.14450867052023122,0.3699421965317919,0.6589595375722543,0.7398843930635838,0,0,0,0.06658722899552715,15.017894798823553,0,0
aiopsvlinear_(no mean)_normal_KL06_144801_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.291866028708134,0.36602870813397137,0.4004784688995216,0.4491095162147798,0.3892526771474142,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.360485854133767,0.19138755980861244,0.430622009569378,0.7703349282296651,0.7703349282296651,0,0,0,0.06731720632343201,14.855043080596714,0,0
aiopsGVAR_(no mean)_normal_KL06_145005_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.23444976076555024,0.29346092503987237,0.3330143540669856,0.3807150451887297,0.3208422571580467,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3031825144279128,0.13875598086124402,0.3684210526315789,0.6411483253588517,0.7081339712918661,0,0,0,0.06869063993390097,14.558024222256064,0,0
aiopscLSTM_(no mean)_normal_KL06_145335_10_0.0001_1_window_10,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.24880382775119617,0.3173843700159489,0.3574162679425838,0.39339447102605013,0.33884370015948967,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3240212912259604,0.15311004784688995,0.37799043062200954,0.7081339712918661,0.7177033492822966,0,0,0,0.08132909473619963,12.295722745268666,0,0
aiopsvlinear_(no mean)_normal_KL06_150118_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2408026755852843,0.3238573021181717,0.35418060200668955,0.40036231884058,0.34240895577852126,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3308834593692165,0.15719063545150502,0.45484949832775917,0.7023411371237458,0.7090301003344481,0,0,0,0.08725610544849,11.4605160849212,0,0
aiopsGVAR_(no mean)_normal_KL06_150405_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2709030100334448,0.3171683389074692,0.32775919732441533,0.3745261984392423,0.3257436162870947,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34810258314509207,0.17391304347826086,0.45484949832775917,0.6321070234113713,0.7190635451505016,0,0,0,0.06991870746166012,14.302323888758231,0,0
aiopscLSTM_(no mean)_normal_KL06_150811_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2508361204013378,0.3121516164994429,0.3344481605351172,0.3420847268673356,0.3163679195200935,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3148007308852592,0.15384615384615385,0.391304347826087,0.5919732441471572,0.68561872909699,0,0,0,0.09383100889199554,10.657457612451475,0,0
aiopsvlinear_(no mean)_normal_KL06_151704_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2827763496143959,0.3526135389888609,0.38534704370179934,0.4380605541273925,0.3771677479903703,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3473720258801369,0.17994858611825193,0.40359897172236503,0.7017994858611826,0.7557840616966581,0,0,0,0.06260687220065943,15.972687419919808,0,0
aiopsGVAR_(no mean)_normal_KL06_152036_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2879177377892031,0.3080548414738644,0.32904884318766153,0.39088117680662665,0.3314193903782594,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3725404851161773,0.20051413881748073,0.4652956298200514,0.6246786632390745,0.7197943444730077,0,0,0,0.07946648879651852,12.58392078402501,0,0
aiopscLSTM_(no mean)_normal_KL06_152544_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2390745501285347,0.26649528706084,0.29588688946015446,0.35781919451585226,0.2952284041294325,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3039318354697401,0.15167095115681234,0.3033419023136247,0.5295629820051414,0.7043701799485861,0,0,0,0.08485807489919785,11.784382348855912,0,0
aiopsvlinear_(no mean)_normal_KL06_154325_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.30057803468208094,0.36801541425818873,0.408092485549133,0.4633108542068082,0.3989636663914121,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37533718689788054,0.2138728323699422,0.42196531791907516,0.791907514450867,0.791907514450867,0.3989636663914121,0.0566265221614024,0.1206415620641562,0.06384795525170475,15.662208696547095,0.6064834594726562,20.27783203125
