scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
gaiarcd_(no mean)_normal_KL12_211933_14_0.0001_1_window_14,gaia,1,normal_KL,rcd,128,0,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7642857142857142,0.6857142857142857,0.6857142857142857,1.0,1.0,0.8610283446712017,0.06358029948576921,1.0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL12_212156_8_0.0001_1_window_8,gaia,1,normal_KL,cLSTM,256,0,0.0001,0.6857142857142857,0.6857142857142857,0.7295238095238101,0.7390476190476192,0.7161617535903252,15782450,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7431292517006801,0.6857142857142857,0.6857142857142857,0.9047619047619048,1.0,0.7161617535903252,0.02607296730248438,1.0,0.08716406822204589,11.472617334158295,60.98431396484375,294.203125,263.75464487075806,8.24233265221119,5438.266312628739,1399.244140625,0
gaiaCUTS_PLUS_(no mean)_normal_KL12_214104_8_0.0001_1_window_8,gaia,1,normal_KL,CUTS_PLUS,256,0,0.0001,0.780952380952381,0.8634920634920641,0.8361904761904753,0.7704761904761901,0.8100789871504157,274738,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8904761904761904,0.780952380952381,1.0,1.0,1.0,0.8100789871504157,0.031963459898534274,1.0,0.083148801894415,12.02663149939108,1.82708740234375,21.654296875,784.8428905010223,34.12360393482706,1313.57754842102,2190.71435546875,0
gaiavlinear_(no mean)_normal_KL12_223043_8_0.0001_1_window_8,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9047619047619048,0.8634920634920641,0.8380952380952371,0.7923809523809539,0.8293892668178385,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9507936507936509,0.9047619047619048,1.0,1.0,1.0,0.8293892668178385,0.03253727455595229,1.0,0.14724705332801455,6.791307380340932,1.4502410888671875,21.4501953125,57.961217403411865,2.5200529305831245,17786.92798711494,935.265625,0
gaiavlinear_(no mean)_normal_KL12_223618_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9142857142857143,0.834920634920636,0.8380952380952371,0.7923809523809539,0.8215321239606956,177426,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9314285714285714,0.9142857142857143,0.9142857142857143,1.0,1.0,0.8215321239606956,0.03457116479356582,1.0,0.0966980911436535,10.341465774276891,1.4562530517578125,21.61181640625,58.76495933532715,2.448539972305298,14640.96988633116,1195.5,0
gaiavlinear_(no mean)_normal_KL12_224150_12_0.0001_1_window_12,gaia,1,normal_KL,vlinear,256,0,0.0001,0.9047619047619048,0.8634920634920641,0.8380952380952371,0.7923809523809539,0.8249845049130766,178966,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9380952380952381,0.9047619047619048,1.0,1.0,1.0,0.8249845049130766,0.034050412454698614,1.0,0.11635273524693081,8.594555150575014,1.4622955322265625,21.77490234375,61.500526428222656,2.365404862623948,12626.591105790018,1456.10986328125,0
gaiatorai_(no mean)_normal_KL12_225308_8_0.0001_1_window_8,gaia,1,normal_KL,torai,128,0,0.0001,0.7333333333333333,0.7238095238095235,0.7257142857142863,0.7371428571428577,0.7310495086923661,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7840943448086304,0.7333333333333333,0.7904761904761904,0.8380952380952381,0.9619047619047619,0.7310495086923661,0.008551961796298815,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL12_225409_8_0.0001_1_window_8,gaia,1,normal_KL,baro,128,0,0.0001,0.6952380952380952,0.711111111111111,0.727619047619048,0.7438095238095245,0.7270634920634923,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.75512506012506,0.6952380952380952,0.7428571428571429,0.8095238095238095,0.9714285714285714,0.7270634920634923,0.0180195087583758,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL12_225429_8_0.0001_1_window_8,gaia,1,normal_KL,rcd,128,0,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7642857142857142,0.6857142857142857,0.6857142857142857,1.0,1.0,0.8610283446712017,0.06358029948576921,1.0,0,0,0,0,0,0,0,0,0




---multiple servcies---
gaiavlinear_(no mean)_normal_KL13_000133_8_0.0001_1_window_8,gaia,1,normal_KL,vlinear,256,0,0.0001,0.26285714285714284,0.28142857142857197,0.2799047619047623,0.32533333333333336,0.2947074829931974,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3847437457331337,0.26285714285714284,0.46285714285714286,0.4657142857142857,0.52,0.2947074829931974,0.020113082364172225,1.0,0.10875447273254395,9.19502412061033,1.45074462890625,21.45166015625,420.8660316467285,6.6804132007417225,17925.83728005088,935.26611328125,0
