scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb
smdtorai_(no mean)_normal_KL14_020934_4_0.0001_2_window_4,smd,2,normal_KL,torai,128,0,0.0001,0.48923076923076925,0.4323076923076923,0.4744615384615387,0.5915152625152624,0.5043857142857142,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6083254290544735,0.48923076923076925,0.6615384615384615,0.7384615384615385,0.8553846153846154,0.5043857142857142,0.051238807211664066,1.0,0,0,0,0,0,0,0,0,1
smdbaro_(no mean)_normal_KL14_021047_4_0.0001_2_window_4,smd,2,normal_KL,baro,128,0,0.0001,0.52,0.46307692307692316,0.5182051282051281,0.6216007326007328,0.5369553113553114,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6327201623610159,0.52,0.6923076923076923,0.76,0.8523076923076923,0.5369553113553114,0.05171370742972196,1.0,0,0,0,0,0,0,0,0,1
smdrcd_(no mean)_normal_KL14_021130_4_0.0001_2_window_4,smd,2,normal_KL,rcd,128,0,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0,0,0,0,0,1
smdcLSTM_(no mean)_normal_KL14_021309_4_0.0001_2_window_4,smd,2,normal_KL,cLSTM,128,0,0.0001,0.38461538461538464,0.3389743589743587,0.36943589743589755,0.45163858363858367,0.39002442002442,3273510,4,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.510543515170102,0.38461538461538464,0.563076923076923,0.6430769230769231,0.7723076923076924,0.39002442002442,0.03944083083720887,1.0,0.08159556242135854,12.255568444225085,12.691558837890625,70.2177734375,4160.218716621399,20.801093583106994,6811.180356164607,282.82568359375,1
smdCUTS_PLUS_(no mean)_normal_KL14_035802_4_0.0001_2_window_4,smd,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.4523076923076923,0.4123076923076923,0.4182564102564101,0.46837728937728923,0.43447167277167276,79014,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5648042474681473,0.4523076923076923,0.6153846153846154,0.68,0.7692307692307693,0.43447167277167276,0.01885901853172778,1.0,0.06304565356327937,15.861521666934467,0.505523681640625,17.9130859375,4353.034665584564,21.76517332792282,6509.481815990728,417.83447265625,1
smdvlinear_(no mean)_normal_KL14_055443_6_0.0001_2_window_6,smd,2,normal_KL,vlinear,128,0,0.0001,0.42153846153846153,0.38461538461538436,0.38882051282051294,0.447733821733822,0.40681770451770455,50314,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5418699190045347,0.42153846153846153,0.6092307692307692,0.676923076923077,0.7784615384615384,0.40681770451770455,0.02289454868233802,1.0,0.0678846601339487,14.730868476424856,0.39617919921875,18.5693359375,661.7086927890778,3.308543463945389,28548.21193352745,320.10693359375,1
smdGVAR_(no mean)_normal_KL14_061318_6_0.0001_2_window_6,smd,2,normal_KL,GVAR,128,0,0.0001,0.20615384615384616,0.2205128205128204,0.24210256410256406,0.30831135531135534,0.25256398046398043,1038900,6,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34125076808019517,0.20615384615384616,0.38153846153846155,0.47384615384615386,0.5969230769230769,0.25256398046398043,0.034957048931286955,1.0,0.06580684221707858,15.195988233279397,4.167198181152344,33.34814453125,274.0935478210449,2.4256066178853533,38939.949826796,111.46142578125,1
smdtorai_(no mean)_normal_KL14_062346_6_0.0001_2_window_6,smd,2,normal_KL,torai,128,0,0.0001,0.29846153846153844,0.2769230769230768,0.3115897435897436,0.39083516483516484,0.3238227106227106,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41504491011468697,0.29846153846153844,0.4369230769230769,0.5384615384615384,0.64,0.3238227106227106,0.0380638020196607,1.0,0,0,0,0,0,0,0,0,1
smdbaro_(no mean)_normal_KL14_062631_6_0.0001_2_window_6,smd,2,normal_KL,baro,128,0,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.437954297223541,0.31384615384615383,0.47384615384615386,0.5538461538461539,0.7046153846153846,0.3611345543345543,0.04302601900421236,1.0,0,0,0,0,0,0,0,0,1
smdrcd_(no mean)_normal_KL14_062708_6_0.0001_2_window_6,smd,2,normal_KL,rcd,128,0,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0,0,0,0,0,1
