scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
aiopsCUTS_PLUS_(no mean)_normal_KL27_201005_8_0.0001_2_window_8,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2617801047120419,0.31413612565445026,0.34869109947643967,0.38237347294938945,0.33404512590376473,243998,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.771189098269681,0.7015706806282722,0.8324607329842932,0.8743455497382199,0.8952879581151832,0.33404512590376473,0.041229224190548905,0.13337988826815642,0.06492758046894173,15.401775220599086,1.6924285888671875,20.994140625,393.14273381233215,1.9657136690616608,2340.6257342638824,1418.4775390625,0,0
aiopsvlinear_(no mean)_normal_KL27_202425_12_0.0001_2_window_12,aiops,2,normal_KL,vlinear,256,0,0.0001,0.3744493392070485,0.4346549192364172,0.47577092511013275,0.5341042584434658,0.4714493741696387,163606,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7797356828193832,0.5594713656387665,1.0,1.0,1.0,0.4714493741696387,0.054555446754535095,0.15896358543417366,0.07182026329544672,13.923647089489274,1.3863067626953125,21.0712890625,20.78124213218689,0.2698862614569726,17036.806450161042,870.8037109375,0,0
aiopsGVAR_(no mean)_normal_KL27_202557_12_0.0001_2_window_12,aiops,2,normal_KL,GVAR,256,0,0.0001,0.2555066079295154,0.3135095447870778,0.33171806167400913,0.37785119921683824,0.3281207607859592,3355308,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5918280990795077,0.5418502202643172,0.5991189427312775,0.6211453744493393,0.6431718061674009,0.3281207607859592,0.040270516424536336,0.15896358543417366,0.13047636448024127,7.664223355575142,13.561134338378906,69.28125,53.81134104728699,0.26905670523643493,17089.33436897432,172.56884765625,0,0
aiopstorai_(no mean)_normal_KL27_202934_12_0.0001_2_window_12,aiops,2,normal_KL,torai,128,0,0.0001,0.2775330396475771,0.35389133627019104,0.3876651982378861,0.4073788546255505,0.36867124676596047,0,12,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4453125293866598,0.2775330396475771,0.5770925110132159,0.5770925110132159,0.762114537444934,0.36867124676596047,0.036696825673271684,0.15896358543417366,0,0,0,0,0,0,0,0,0,0
aiopsbaro_(no mean)_normal_KL27_203804_12_0.0001_2_window_12,aiops,2,normal_KL,baro,128,0,0.0001,0.31718061674008813,0.38472834067547734,0.4193832599118947,0.4692486539402839,0.4100015733165514,0,12,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39400982328219153,0.22466960352422907,0.4581497797356828,0.8370044052863436,0.8370044052863436,0.4100015733165514,0.052982396468798,0.15896358543417366,0,0,0,0,0,0,0,0,0,0
aiopsrcd_(no mean)_normal_KL27_203921_12_0.0001_2_window_12,aiops,2,normal_KL,rcd,128,0,0.0001,0.18502202643171806,0.26725403817914833,0.29603524229074873,0.34247430249632915,0.2827630934899658,0,12,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2947440376727936,0.09251101321585903,0.3700440528634361,0.8458149779735683,0.8458149779735683,0.2827630934899658,0.05462189788786041,0.15896358543417366,0,0,0,0,0,0,0,0,0,0
aiopscLSTM_(no mean)_normal_KL27_204505_12_0.0001_2_window_12,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.27312775330396477,0.30102790014684283,0.3277533039647579,0.37722711698482625,0.3239418572127824,8855070,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5918364183327791,0.5374449339207048,0.5726872246696035,0.5814977973568282,0.7665198237885462,0.3239418572127824,0.035616973748285485,0.15896358543417366,0.07072376889804387,14.139517952466738,34.54106140136719,162.41015625,154.50562286376953,0.7725281143188476,5951.886947252583,1215.09423828125,0,0
aiopsCUTS_PLUS_(no mean)_normal_KL27_205120_12_0.0001_2_window_12,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.27312775330396477,0.3157121879588843,0.345374449339207,0.3839574155653455,0.33749248304314394,243998,12,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5984703177542778,0.5462555066079295,0.6035242290748899,0.6211453744493393,0.6519823788546255,0.33749248304314394,0.036080044197387445,0.15896358543417366,0.08258263550140785,12.10908314960416,1.6924285888671875,20.9970703125,610.9164454936981,3.0545822274684906,1505.2794973571981,2050.9072265625,0,0
aiopsvlinear_(no mean)_normal_KL27_211233_16_0.0001_2_window_16,aiops,2,normal_KL,vlinear,256,0,0.0001,0.38022813688212925,0.43979721166032976,0.48136882129277625,0.5403358681875792,0.47802070130967483,166686,16,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7319391634980988,0.467680608365019,1.0,1.0,1.0,0.47802070130967483,0.053811767575370324,0.18469101123595505,0.07003575495440698,14.278421081503247,1.3984832763671875,21.26611328125,25.066181659698486,0.3298181797328748,13931.918500434289,1177.6875,0,0
aiopsGVAR_(no mean)_normal_KL27_211406_16_0.0001_2_window_16,aiops,2,normal_KL,GVAR,256,0,0.0001,0.25475285171102663,0.29531051964512045,0.3243346007604566,0.36968736797634133,0.31820417647413857,4575420,16,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5321030751267715,0.4714828897338403,0.5209125475285171,0.5475285171102662,0.6463878326996197,0.31820417647413857,0.03717850720534735,0.18469101123595505,0.07295131864656514,13.707771409106453,18.215492248535156,87.9228515625,65.02749466896057,0.32513747334480286,14132.483569887003,223.50634765625,0,0
aiopstorai_(no mean)_normal_KL27_211729_16_0.0001_2_window_16,aiops,2,normal_KL,torai,128,0,0.0001,0.2813688212927757,0.36375158428390414,0.39847908745247207,0.42225390790029577,0.3798930231154567,0,16,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.45209693632271314,0.2813688212927757,0.5893536121673004,0.6007604562737643,0.7908745247148289,0.3798930231154567,0.040492705934920624,0.18469101123595505,0,0,0,0,0,0,0,0,0,0
aiopsbaro_(no mean)_normal_KL27_212622_16_0.0001_2_window_16,aiops,2,normal_KL,baro,128,0,0.0001,0.33079847908745247,0.39163498098859345,0.42661596958174947,0.4781896915927335,0.41975964149918543,0,16,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4045430706699882,0.23574144486692014,0.4600760456273764,0.8479087452471483,0.8479087452471483,0.41975964149918543,0.05145890572060124,0.18469101123595505,0,0,0,0,0,0,0,0,0,0
aiopsrcd_(no mean)_normal_KL27_212743_16_0.0001_2_window_16,aiops,2,normal_KL,rcd,128,0,0.0001,0.19011406844106463,0.27122940430925185,0.2980988593155898,0.34299746514575385,0.28520701309674706,0,16,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2990297626851973,0.09505703422053231,0.38022813688212925,0.8517110266159695,0.8517110266159695,0.28520701309674706,0.05310915285436695,0.18469101123595505,0,0,0,0,0,0,0,0,0,0
aiopscLSTM_(no mean)_normal_KL27_213347_16_0.0001_2_window_16,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.2585551330798479,0.30291508238276316,0.3296577946768063,0.3900084495141533,0.3236052266280405,8855070,16,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8646116241173275,0.7908745247148289,0.9315589353612167,0.9695817490494296,0.9695817490494296,0.3236052266280405,0.039885738954939735,0.18469101123595505,0.07013873455642294,14.257457114450109,34.54106140136719,165.0625,180.66868615150452,0.9033434307575225,5086.659008685922,1587.1328125,0,0
aiopsCUTS_PLUS_(no mean)_normal_KL27_214114_16_0.0001_2_window_16,aiops,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.34220532319391633,0.3295310519645119,0.34448669201520954,0.35877693282636236,0.3409062103929025,243998,16,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5722090191138065,0.467680608365019,0.5361216730038023,0.6920152091254753,0.9239543726235742,0.3409062103929025,0.014184882193579221,0.18469101123595505,0.07307650018554224,13.68428971640659,1.6924285888671875,21.0,838.6768035888672,4.193384017944336,1095.773718871696,2685.8525390625,0,0
aiopsvlinear_(no mean)_normal_KL27_220924_20_0.0001_2_window_20,aiops,2,normal_KL,vlinear,256,0,0.0001,0.3745819397993311,0.43422519509476065,0.4765886287625418,0.5367800074321816,0.4726360354621225,169766,20,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6945373467112598,0.4080267558528428,1.0,1.0,1.0,0.4726360354621225,0.053326229611324154,0.21056338028169014,0.08205595144061341,12.18680647099355,1.4107818603515625,21.4619140625,25.882282972335815,0.3863027309303853,11887.050316575456,1485.953125,0,0
aiopsGVAR_(no mean)_normal_KL27_221051_20_0.0001_2_window_20,aiops,2,normal_KL,GVAR,256,0,0.0001,0.25752508361204013,0.30657748049052397,0.3290969899665558,0.3684410999628394,0.32317128523650285,5795532,20,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4979578091249298,0.42474916387959866,0.4916387959866221,0.5317725752508361,0.6688963210702341,0.32317128523650285,0.033249616156523804,0.21056338028169014,0.07780635556249714,12.852420509488592,22.869850158691406,106.564453125,77.06600999832153,0.3853300499916077,11917.056559954282,280.97119140625,0,0
aiopstorai_(no mean)_normal_KL27_221451_20_0.0001_2_window_20,aiops,2,normal_KL,torai,128,0,0.0001,0.27424749163879597,0.3556298773690083,0.3933110367892985,0.422064288368636,0.37685857620640245,0,20,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.446042830233235,0.27424749163879597,0.5719063545150501,0.6086956521739131,0.802675585284281,0.37685857620640245,0.04309328098455586,0.21056338028169014,0,0,0,0,0,0,0,0,0,0
aiopsbaro_(no mean)_normal_KL27_222411_20_0.0001_2_window_20,aiops,2,normal_KL,baro,128,0,0.0001,0.34782608695652173,0.4035674470457082,0.44013377926421365,0.4932274247491628,0.4345017784148218,0,20,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4169991927113367,0.25418060200668896,0.46488294314381273,0.8461538461538461,0.8461538461538461,0.4345017784148218,0.05055449991262445,0.21056338028169014,0,0,0,0,0,0,0,0,0,0
