scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_120959_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7066666666666666,0.6461666666666664,0.8178333333333331,0.749433333333333,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_121332_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7033333333333333,0.6411666666666664,0.8124999999999996,0.7460166666666664,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_121710_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7033333333333335,0.6341666666666664,0.8099999999999996,0.7414999999999998,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_124457_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.85,0.6866666666666665,0.6355000000000001,0.8174999999999997,0.7345166666666666,436639,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_125139_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.71,0.6479999999999998,0.8204999999999997,0.7499666666666666,439879,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_125501_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.72,0.6468333333333333,0.8204999999999997,0.7525999999999998,439879,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_125824_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.9,0.7233333333333333,0.6463333333333332,0.8229999999999997,0.7549999999999998,439879,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_130147_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.72,0.6466666666666664,0.827833333333333,0.7503833333333331,439879,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_130510_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7066666666666667,0.6474999999999999,0.8184999999999997,0.7517166666666665,439879,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_130834_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7266666666666666,0.6579999999999998,0.7999999999999996,0.7515333333333332,439879,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_131159_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7233333333333333,0.6584999999999996,0.8019999999999995,0.7529333333333332,439879,7,0,100,0,0,32,2,40,0.2
