scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL06_104614_15_0.0001_1_window_15,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3333333333333333,0.40499999999999997,0.43166666666666664,0.485,0.4371666666666667,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_105219_15_0.0001_4_window_15,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2033333333333333,0.27999999999999997,0.33000000000000007,0.4333333333333333,0.33266666666666667,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_105826_15_1e-05_4_window_15,swat,4,normal_KL,TemporalGNN_Attention,256,2,1e-05,0.07333333333333333,0.13666666666666666,0.25333333333333335,0.3633333333333334,0.252,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_110427_15_0.0001_4_window_15,swat,4,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.18666666666666668,0.33999999999999997,0.41,0.5233333333333333,0.3983333333333333,5311972,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_111544_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.345,0.38499999999999995,0.43,0.374,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_112207_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.31,0.4,0.41999999999999993,0.41999999999999993,0.4039999999999999,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_123626_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.28,0.38,0.39499999999999996,0.46499999999999997,0.388,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_124057_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.27,0.31,0.32999999999999996,0.36,0.32799999999999996,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_124448_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.21000000000000002,0.34,0.375,0.4149999999999999,0.35450000000000004,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_124854_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.31,0.375,0.40499999999999997,0.43499999999999994,0.394,8537828,5,0,1000,0,0,256,4
