scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_003619_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.89,0.8700000000000001,0.9486666666666664,1.0,0.9502,57045,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_003711_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.84,0.8850000000000001,0.9558333333333331,1.0,0.9484999999999999,57045,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_003805_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.89,0.8700000000000001,0.9486666666666664,1.0,0.9502,57045,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_003857_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.85,0.8766666666666667,0.9743333333333334,1.0,0.9479333333333333,72185,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_003959_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.8783333333333334,0.9678333333333333,1.0,0.9508666666666666,72185,5,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_004101_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.86,0.9083333333333333,0.9623333333333332,1.0,0.9523166666666667,420756,7,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_004225_7_0.0001_2_window_7,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.86,0.9066666666666667,0.9788333333333332,1.0,0.9559666666666666,420756,7,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_004349_7_0.0001_1_window_7,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.82,0.8533333333333334,0.9546666666666666,1.0,0.9377166666666665,57109,7,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_004444_7_0.0001_2_window_7,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.84,0.8566666666666669,0.9479999999999998,1.0,0.9404666666666668,57109,7,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_004541_7_0.0001_1_window_7,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.82,0.8533333333333334,0.9546666666666666,1.0,0.9377166666666665,57109,7,0,100,0,0,32,2
